country_code,latitude,longitude,country,Gold,Silver,Bronze,Total
SE,60.128161,18.643501,Sweden,8,5,5,18
AN,12.226079,-69.060087,Netherlands Antilles,8,5,4,17
CN,35.86166,104.195397,China,9,4,2,15
DE,51.165691,10.451526,Germany,12,10,5,27
NO,60.472024,8.468946,Norway,16,8,13,37
IT,41.87194,12.56738,Italy,2,7,8,15
RU,61.52401,105.318756,Russia,6,12,14,32
AT,47.516231,14.550072,Austria,7,7,4,18
SI,46.151241,14.995463,Slovenia,2,3,2,7
FR,46.227638,2.213749,France,5,7,2,14
CA,56.130366,-106.346771,Canada,4,8,14,26
JP,36.204824,138.252924,Japan,3,6,9,18
CH,46.818188,8.227512,Switzerland,7,2,5,14
AU,-25.274398,133.775136,Australia,1,2,1,4
CZ,49.817492,15.472962,Czech Republic,1,0,1,2
NZ,-40.900557,174.885971,New Zealand,2,1,0,3
US,37.0902,-95.71,United States,8,10,7,25
BY,53.709807,27.953389,Belarus,0,2,0,2
HU,47.162494,19.503304,Hungary,1,0,2,3
FI,61.92411,25.748151,Finland,2,2,4,8
KR,35.907757,127.766922,South Korea,2,5,2,9
PL,51.919438,19.145136,Poland,0,0,1,1
